Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
1,0,0,0.9436,0.94,0.9401
2,0,0,0.9559,0.9554,0.9536
3,0,0,0.9603,0.9583,0.9567
4,0,0,0.9613,0.9642,0.9615
5,0,0,0.9659,0.9636,0.9643
6,0,0,0.9657,0.9674,0.9667
7,0,0,0.9684,0.9667,0.9612
8,0,0,0.9681,0.969,0.968
9,0,0,0.9694,0.968,0.9698
10,0,0,0.9688,0.9667,0.9704
11,0,0,0.9697,0.9704,0.9698
12,0,0,0.9704,0.9703,0.9719
13,0,0,0.9696,0.9701,0.9715
14,0,0,0.9709,0.9712,0.9723
15,0,0,0.9702,0.9718,0.9726
16,0,0,0.9719,0.972,0.9732
17,0,0,0.9714,0.9718,0.9723
18,0,0,0.972,0.972,0.9722
19,0,0,0.9712,0.9724,0.9745
20,0,0,0.9719,0.9722,0.9732
1,1,0,0.9421,0.9546,0.9449
2,1,0,0.9348,0.9548,0.9418
3,1,0,0.9347,0.956,0.9445
4,1,0,0.934,0.9569,0.9401
5,1,0,0.9332,0.9556,0.9418
6,1,0,0.9258,0.9568,0.938
7,1,0,0.9241,0.9573,0.9342
8,1,0,0.9288,0.9578,0.9353
9,1,0,0.9217,0.9586,0.9334
10,1,0,0.9206,0.9588,0.9322
11,1,0,0.919,0.9594,0.9304
12,1,0,0.9167,0.959,0.9272
13,1,0,0.918,0.9604,0.9258
14,1,0,0.9152,0.9611,0.9263
15,1,0,0.9144,0.9608,0.9246
16,1,0,0.9113,0.9607,0.9238
17,1,0,0.9121,0.9603,0.9222
18,1,0,0.9098,0.9615,0.923
19,1,0,0.9086,0.9626,0.9217
20,1,0,0.907,0.9629,0.9208
1,1,1,0.9407,0.9373,0.9362
2,1,1,0.9531,0.9473,0.9515
3,1,1,0.9605,0.9568,0.9605
4,1,1,0.9627,0.9607,0.9648
5,1,1,0.9651,0.9616,0.9656
6,1,1,0.9658,0.9646,0.9667
7,1,1,0.9665,0.9653,0.9672
8,1,1,0.9675,0.9664,0.9685
9,1,1,0.9691,0.9681,0.969
10,1,1,0.9691,0.9658,0.9693
11,1,1,0.9701,0.968,0.9707
12,1,1,0.9711,0.9682,0.9714
13,1,1,0.9709,0.9677,0.9714
14,1,1,0.9709,0.9682,0.9716
15,1,1,0.9708,0.9678,0.9718
16,1,1,0.9721,0.9668,0.9724
17,1,1,0.9716,0.9689,0.9734
18,1,1,0.9717,0.9689,0.9731
19,1,1,0.9707,0.9699,0.9734
20,1,1,0.9714,0.9694,0.9735
1,2,0,0.8487,0.9364,0.8696
2,2,0,0.84,0.9375,0.8592
3,2,0,0.8407,0.9394,0.8445
4,2,0,0.8253,0.9398,0.846
5,2,0,0.8167,0.9401,0.8444
6,2,0,0.8194,0.9395,0.8351
7,2,0,0.8086,0.9411,0.8377
8,2,0,0.8077,0.9394,0.8312
9,2,0,0.8056,0.9425,0.827
10,2,0,0.8013,0.9417,0.8267
11,2,0,0.8015,0.944,0.8242
12,2,0,0.7948,0.9437,0.8229
13,2,0,0.7884,0.944,0.8174
14,2,0,0.7901,0.9429,0.8148
15,2,0,0.7873,0.9454,0.8181
16,2,0,0.7908,0.9463,0.8156
17,2,0,0.7881,0.9454,0.8162
18,2,0,0.7801,0.9466,0.813
19,2,0,0.7869,0.947,0.8122
20,2,0,0.7873,0.947,0.8119
1,2,1,0.9298,0.9542,0.9478
2,2,1,0.9271,0.9534,0.9439
3,2,1,0.9244,0.9551,0.9368
4,2,1,0.9242,0.9539,0.9296
5,2,1,0.9229,0.9567,0.9346
6,2,1,0.9196,0.9564,0.9255
7,2,1,0.9223,0.9577,0.9277
8,2,1,0.9157,0.9567,0.9272
9,2,1,0.9155,0.9579,0.9239
10,2,1,0.9144,0.9589,0.92
11,2,1,0.9156,0.9597,0.9205
12,2,1,0.9117,0.9597,0.919
13,2,1,0.9067,0.9604,0.9181
14,2,1,0.9089,0.9589,0.9108
15,2,1,0.9072,0.9606,0.911
16,2,1,0.9062,0.96,0.9139
17,2,1,0.9059,0.9606,0.9094
18,2,1,0.9008,0.9618,0.9108
19,2,1,0.9042,0.962,0.9084
20,2,1,0.9039,0.9616,0.9081
1,2,2,0.9428,0.9363,0.9444
2,2,2,0.9539,0.9457,0.956
3,2,2,0.9608,0.9558,0.9626
4,2,2,0.9634,0.9568,0.9658
5,2,2,0.9655,0.9584,0.9667
6,2,2,0.9636,0.959,0.9686
7,2,2,0.9669,0.9611,0.9703
8,2,2,0.9698,0.9587,0.9697
9,2,2,0.9697,0.9633,0.9712
10,2,2,0.9711,0.9638,0.9719
11,2,2,0.972,0.964,0.9723
12,2,2,0.9725,0.9633,0.9728
13,2,2,0.9712,0.9646,0.9733
14,2,2,0.9728,0.9645,0.9734
15,2,2,0.9732,0.9641,0.9735
16,2,2,0.9729,0.9642,0.9736
17,2,2,0.9735,0.9653,0.9736
18,2,2,0.9733,0.9649,0.9741
19,2,2,0.9733,0.965,0.974
20,2,2,0.974,0.9656,0.9747
