Trial, Learning rate, Hidden layer width, Task 1, Task 2, Task 3, Task 4, Task 5, Task 6, Task 7, Task 8, Task 9, Task 10
1, 0.0001484968262254465, 696, 0.9573, 0.95025, 0.9447666666666666, 0.9393250000000001, 0.9328000000000001, 0.9281833333333335, 0.9224857142857142, 0.9164375, 0.098, 0.098
2, 0.00016297508346206434, 1286, 0.9671, 0.95915, 0.9537333333333334, 0.9488000000000001, 0.94336, 0.93985, 0.9361999999999998, 0.930225, 0.098, 0.098
3, 7.390722033525775e-05, 1349, 0.9579, 0.94905, 0.9398, 0.934325, 0.92422, 0.9208833333333333, 0.9175142857142858, 0.9124125000000001, 0.9030555555555557, 0.8993599999999999
4, 0.00031257158496882353, 868, 0.9677, 0.9620500000000001, 0.9575666666666667, 0.95365, 0.9490000000000001, 0.94355, 0.9407714285714286, 0.9380625, 0.098, 0.098
5, 0.00019630406500402724, 914, 0.9618, 0.9566, 0.9519000000000001, 0.947675, 0.94314, 0.9388833333333334, 0.9356714285714285, 0.930775, 0.9252888888888889, 0.92248
6, 0.0008697490026177834, 419, 0.9729, 0.9673499999999999, 0.9639333333333333, 0.098, 0.098, 0.09799999999999999, 0.09799999999999999, 0.098, 0.098, 0.098
7, 0.0001788649529057435, 436, 0.9546, 0.9458500000000001, 0.9411666666666667, 0.933775, 0.9269400000000001, 0.9191166666666667, 0.09799999999999999, 0.098, 0.098, 0.098
8, 5.0941380148163855e-05, 1774, 0.9541, 0.94355, 0.9380333333333333, 0.9301250000000001, 0.9198599999999999, 0.9143499999999999, 0.9095142857142857, 0.906, 0.8963666666666668, 0.89254
9, 2.2051307399030455e-05, 426, 0.919, 0.89575, 0.8771, 0.86115, 0.8472000000000002, 0.8314833333333334, 0.8114142857142858, 0.7889124999999999, 0.7686444444444445, 0.7442200000000001
10, 4.641588833612782e-05, 1491, 0.9545, 0.9410499999999999, 0.9296333333333333, 0.9223000000000001, 0.9172800000000001, 0.9134500000000001, 0.9069142857142857, 0.9012, 0.8926000000000001, 0.8888199999999999
11, 6.135907273413175e-05, 1593, 0.9566, 0.94245, 0.9372000000000001, 0.9313500000000001, 0.92308, 0.9194, 0.9129285714285714, 0.9014625, 0.9012444444444445, 0.098
12, 0.00020565123083486514, 505, 0.9584, 0.9514, 0.9446666666666667, 0.9392750000000001, 0.93284, 0.9260166666666666, 0.14250000000000002, 0.098, 0.098, 0.098
13, 2.0092330025650458e-05, 574, 0.9227, 0.90675, 0.8883000000000001, 0.87305, 0.85702, 0.8445666666666666, 0.834442857142857, 0.8151375000000001, 0.7998333333333334, 0.7820400000000001
14, 0.0001291549665014884, 1084, 0.961, 0.9532499999999999, 0.9464, 0.942725, 0.9361200000000001, 0.9316666666666666, 0.9277285714285713, 0.9211125, 0.9127000000000002, 0.9100699999999999
15, 4.430621457583878e-05, 995, 0.9458, 0.93265, 0.9213333333333334, 0.912525, 0.9051600000000001, 0.8965166666666665, 0.8927571428571428, 0.8876375, 0.8782888888888888, 0.098
16, 0.00017073526474706922, 835, 0.9593, 0.9528, 0.9470000000000001, 0.942925, 0.9358600000000001, 0.93005, 0.9245857142857143, 0.9194, 0.9128444444444445, 0.098
17, 2.4201282647943835e-05, 1843, 0.9489, 0.9348000000000001, 0.9257666666666667, 0.9172, 0.9086000000000001, 0.9004500000000001, 0.8970714285714286, 0.890725, 0.8759111111111112, 0.8707800000000001
18, 4.037017258596558e-05, 717, 0.9407, 0.9285, 0.9110999999999999, 0.90315, 0.8956399999999999, 0.09799999999999999, 0.09799999999999999, 0.098, 0.098, 0.098
19, 0.0001232846739442066, 1472, 0.9663, 0.9574, 0.9523999999999999, 0.945425, 0.9367000000000001, 0.9340833333333335, 0.9297428571428572, 0.922625, 0.098, 0.098
20, 5.3366992312063123e-05, 1166, 0.9522, 0.93925, 0.9291333333333333, 0.922025, 0.9136599999999999, 0.9099166666666667, 0.9041285714285714, 0.897925, 0.8894888888888889, 0.8861400000000001
21, 0.00029836472402833405, 400, 0.9616, 0.9550000000000001, 0.9487, 0.942975, 0.098, 0.09799999999999999, 0.09799999999999999, 0.098, 0.098, 0.098
22, 0.0003430469286314919, 899, 0.9713, 0.9641500000000001, 0.9609333333333333, 0.9564250000000001, 0.95196, 0.9478166666666666, 0.9437285714285714, 0.098, 0.098, 0.098
23, 1.1497569953977357e-05, 559, 0.9034, 0.886, 0.8612666666666667, 0.8384, 0.8205799999999999, 0.8036166666666666, 0.7780857142857143, 0.7635875000000001, 0.7442555555555556, 0.72959
24, 6.734150657750829e-05, 1789, 0.9593, 0.94905, 0.9413333333333332, 0.9301750000000001, 0.92302, 0.9177833333333333, 0.9176142857142857, 0.9085375, 0.9073777777777777, 0.90418
25, 0.00027185882427329403, 900, 0.9677, 0.96025, 0.9563333333333333, 0.95255, 0.9484400000000001, 0.09799999999999999, 0.09799999999999999, 0.098, 0.098, 0.098
