Trial, Learning rate, Hidden layer width, Task 1, Task 2, Task 3, Task 4, Task 5, Task 6, Task 7, Task 8, Task 9, Task 10
1, 0.00011233240329780277, 1364, 0.9331, 0.9391, 0.9306333333333333, 0.9168750000000001, 0.89538, 0.09799999999999999, 0.09799999999999999, 0.098, 0.098, 0.098
2, 1.2045035402587812e-05, 520, 0.8316, 0.8488, 0.8482, 0.8373750000000001, 0.8249600000000001, 0.8103500000000001, 0.7939142857142858, 0.7748875, 0.7533222222222222, 0.7296799999999999
3, 0.00017073526474706922, 1509, 0.9452, 0.94865, 0.9402666666666667, 0.92585, 0.9031400000000002, 0.8737333333333334, 0.8393714285714287, 0.8035375, 0.7666111111111111, 0.72207
4, 2.2051307399030455e-05, 475, 0.846, 0.86685, 0.8661666666666666, 0.8553999999999999, 0.8442000000000001, 0.8277166666666668, 0.8114428571428572, 0.7916000000000001, 0.7692666666666665, 0.7452599999999999
5, 5.0941380148163855e-05, 1821, 0.9242, 0.92835, 0.9231666666666666, 0.9097000000000001, 0.88702, 0.8606666666666666, 0.830442857142857, 0.798575, 0.760288888888889, 0.72438
6, 7.742636826811278e-05, 1452, 0.928, 0.9330499999999999, 0.9287, 0.9143749999999999, 0.8929199999999999, 0.8633333333333333, 0.8315285714285715, 0.800925, 0.7649777777777778, 0.73208
7, 0.0005214008287999684, 1217, 0.9545, 0.95685, 0.9521666666666667, 0.9394500000000001, 0.91558, 0.87995, 0.8446999999999999, 0.8048875, 0.7676444444444445, 0.098
8, 0.0006579332246575682, 637, 0.9481, 0.9521999999999999, 0.9456333333333333, 0.93255, 0.91402, 0.8877999999999999, 0.8552000000000001, 0.8226, 0.7871666666666667, 0.7508900000000001
9, 0.0001873817422860385, 1345, 0.9432, 0.9454499999999999, 0.9388000000000001, 0.9257500000000001, 0.9068400000000001, 0.8791166666666665, 0.8458714285714285, 0.8063875, 0.7692111111111111, 0.72668
10, 0.0009545484566618347, 814, 0.9569, 0.958, 0.9537999999999999, 0.940175, 0.91812, 0.8804333333333334, 0.8466571428571428, 0.8102, 0.7757777777777778, 0.098
11, 0.00032745491628777317, 1938, 0.9571, 0.9589000000000001, 0.9523666666666667, 0.9385249999999999, 0.9146599999999999, 0.8837166666666668, 0.8495714285714285, 0.8150875000000001, 0.781, 0.7451999999999999
12, 1.6681005372000593e-05, 1818, 0.8959, 0.9053, 0.902, 0.8916999999999999, 0.8747, 0.8550333333333334, 0.8302714285714287, 0.800025, 0.7739222222222223, 0.74656
13, 8.497534359086438e-05, 1430, 0.9287, 0.93285, 0.9269, 0.9128499999999999, 0.8911000000000001, 0.8607999999999999, 0.8230571428571428, 0.78375, 0.7461333333333333, 0.7141
14, 1.5199110829529332e-05, 450, 0.8312, 0.84935, 0.8498666666666667, 0.8425, 0.83098, 0.8187666666666668, 0.8041999999999999, 0.789725, 0.7730555555555555, 0.7532000000000001
15, 0.00021544346900318845, 644, 0.9309, 0.93155, 0.9265333333333333, 0.9155249999999999, 0.89754, 0.8722166666666665, 0.8392999999999999, 0.8082875, 0.7764888888888889, 0.74487
16, 0.0002477076355991711, 473, 0.9248, 0.9294, 0.9231666666666666, 0.911975, 0.8951800000000001, 0.8718666666666666, 0.8429, 0.8134125000000001, 0.7854111111111112, 0.75519
17, 1.3848863713938746e-05, 943, 0.8613, 0.8787499999999999, 0.8761000000000001, 0.86955, 0.8578800000000001, 0.8395999999999999, 0.8183142857142859, 0.7978125, 0.7761555555555555, 0.75317
18, 0.0001788649529057435, 1850, 0.9458, 0.9484999999999999, 0.9414000000000001, 0.9273250000000001, 0.89904, 0.8652666666666665, 0.8236571428571429, 0.7812250000000001, 0.7474111111111111, 0.71708
19, 3.8535285937105275e-05, 1818, 0.923, 0.9276500000000001, 0.9218666666666667, 0.9062749999999999, 0.8843799999999999, 0.8547666666666668, 0.8184571428571428, 0.7799499999999999, 0.7469444444444444, 0.71943
20, 1.6681005372000593e-05, 1153, 0.8789, 0.89375, 0.8944333333333333, 0.8825500000000001, 0.8661, 0.8476666666666666, 0.8275142857142859, 0.8017625, 0.7763777777777778, 0.75071
21, 0.00020565123083486514, 1243, 0.9425, 0.94435, 0.9363, 0.9214249999999999, 0.8972999999999999, 0.86845, 0.8303857142857144, 0.7903375, 0.7509111111111112, 0.7174699999999999
22, 1.047615752789664e-05, 649, 0.8253, 0.85265, 0.8528666666666668, 0.8468, 0.8358000000000001, 0.8181666666666666, 0.7974571428571429, 0.7751874999999999, 0.7527666666666667, 0.73389
23, 1.4508287784959402e-05, 1231, 0.8749, 0.8888, 0.8851, 0.874875, 0.86086, 0.8445, 0.8270285714285714, 0.803625, 0.7773111111111111, 0.75247
24, 0.00020565123083486514, 729, 0.9303, 0.93495, 0.9274666666666667, 0.9127500000000001, 0.8933000000000002, 0.8643833333333332, 0.8317428571428572, 0.8022, 0.7733777777777777, 0.7455700000000001
25, 0.00020565123083486514, 994, 0.9401, 0.94045, 0.9346333333333333, 0.91915, 0.8976200000000001, 0.86985, 0.8400571428571428, 0.8103500000000001, 0.7826666666666666, 0.7481200000000001
